datetime,pandora,Direction,Speed,Pressure,Temperature,Humidity,hour
2014-07-25 09:45:00,8.123e+18,131.46,3.0701,847.0,29.72,28.71,9
2014-07-25 09:46:00,8.1e+18,119.85,3.4607,847.0,29.96,27.91,9
2014-07-25 09:47:00,7.728e+18,140.71,2.8792,847.0,30.05,27.01,9
2014-07-25 09:49:00,7.85e+18,160.66,3.318,846.9,30.14,28.33,9
2014-07-25 09:50:00,7.671e+18,159.52,3.3755,847.0,30.04,27.45,9
2014-07-25 09:52:00,8.171e+18,154.5,3.2594,846.9,29.89,27.75,9
2014-07-25 09:53:00,7.746e+18,150.65,3.9635,846.9,29.84,27.45,9
2014-07-25 09:55:00,8.195e+18,145.19,3.2977,846.9,29.86,28.03,9
2014-07-25 10:09:00,7.85e+18,168.42,3.2258,846.8,30.62,24.31,10
2014-07-25 10:12:00,7.859e+18,153.45,3.2411,846.8,30.93,24.4,10
2014-07-25 10:14:00,8.201e+18,158.99,3.3021,846.8,31.01,24.0,10
2014-07-25 10:15:00,7.879e+18,167.07,3.5755,846.8,30.99,23.7,10
2014-07-25 10:17:00,8.099e+18,140.48,3.5487,846.8,31.07,23.08,10
2014-07-25 10:18:00,8.276e+18,148.46,4.4542,846.7,30.86,23.75,10
2014-07-25 10:19:00,8.136e+18,152.52,3.4659,846.8,30.98,23.84,10
2014-07-25 10:21:00,8.026e+18,128.74,4.1685,846.8,31.02,23.79,10
2014-07-25 10:22:00,7.813e+18,132.98,3.3531,846.8,30.87,24.11,10
2014-07-25 10:26:00,8.08e+18,103.74,3.4393,846.8,31.18,22.76,10
2014-07-25 10:27:00,7.94e+18,124.92,2.4677,846.8,30.99,22.95,10
2014-07-25 10:29:00,7.969e+18,115.43,3.7018,846.8,31.54,22.59,10
2014-07-25 10:30:00,8.189e+18,116.78,4.2846,846.8,31.57,22.8,10
2014-07-25 10:32:00,8.003e+18,118.27,1.624,846.9,31.6,22.03,10
2014-07-25 10:33:00,7.972e+18,100.09,1.8195,846.9,31.42,22.37,10
2014-07-25 10:35:00,7.936e+18,97.32,2.8102,846.9,31.43,22.06,10
2014-07-25 10:36:00,8.196e+18,111.08,3.7865,846.9,31.82,21.89,10
2014-07-25 10:40:00,7.948e+18,170.95,1.3102,846.9,31.44,20.63,10
2014-07-25 10:41:00,8.091e+18,129.22,1.8591,846.9,31.82,21.86,10
2014-07-25 10:43:00,7.934e+18,108.53,2.9411,846.9,32.09,19.85,10
2014-07-25 10:44:00,8.034e+18,114.03,2.0242,846.9,31.73,20.61,10
2014-07-25 10:46:00,8.189e+18,148.3,2.3664,846.9,32.03,19.77,10
2014-07-25 10:47:00,8.02e+18,140.86,2.7159,846.8,31.9,19.92,10
2014-07-25 10:48:00,8.045e+18,139.12,1.6469,846.9,31.94,20.33,10
2014-07-25 10:50:00,8.066e+18,145.79,2.4497,846.9,32.4,20.81,10
2014-07-25 10:53:00,8.171e+18,90.71,3.4688,846.8,32.32,20.72,10
2014-07-25 10:55:00,8.309e+18,106.71,3.707,846.8,32.21,20.34,10
2014-07-25 10:56:00,8.097e+18,115.25,1.2378,846.9,31.83,20.48,10
2014-07-25 10:58:00,7.846e+18,92.77,3.2911,846.8,32.02,20.5,10
2014-07-25 10:59:00,8.144e+18,89.23,2.9047,846.8,31.88,22.77,10
2014-07-25 11:02:00,7.955e+18,36.48,5.1969,846.7,31.3,28.42,11
